isbn,title,author,price,language,num_pages,date,rating,num_rating,category 1,category 2,category 3
9781474603041,The Grownup,Gillian Flynn,607.95,English,96,05 Nov 2015,3.56,111919,Contemporary Fiction,Crime,Crime Fiction
9781407132105,Mockingjay,Suzanne Collins,675.54,English,448,06 Feb 2012,4.06,2680970,Adventure Books for Kids,Sci Fi Books for Kids
9780006546061,Fahrenheit 451,Ray Bradbury,650.62,English,192,16 Mar 2018,3.98,1971545,Classic Books & Novels,Political & Legal,Political & Legal
9780061956270,Freakonomics : A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,645.97,English,336,31 Oct 2018,3.99,781586,Economic Theory & Philosophy,Economic Theory & Philosophy,Business & Management
9780747585664,"Eat, Pray, Love : One Woman's Search for Everything",Elizabeth Gilbert,686.95,English,384,05 Mar 2007,3.59,1599983,Biography: General,Autobiography: General,Guidebooks
9780571338757,Milkman : WINNER OF THE MAN BOOKER PRIZE 2018,Anna Burns,676.15,English,368,01 Nov 2018,3.55,50629,Contemporary Fiction
9780451205360,The Richest Man In Babylon,George S Clason,668.09,English,196,31 Oct 2018,4.26,147746,Business & Management,Business Ethics,Management: Leadership & Motivation
9780091906351,How to Win Friends and Influence People,Dale Carnegie,681.33,English,304,16 Aug 2010,4.21,774984,Management: Leadership & Motivation,Personnel & Human Resources Management,Family & Relationships
9780241951446,A Clockwork Orange,Anthony Burgess,607.58,English,144,16 Jun 2011,4,649974,Contemporary Fiction,Classic Books & Novels,Crime
9781780622316,Crooked Kingdom : (Six of Crows Book 2),Leigh Bardugo,663.22,English,560,21 Jun 2017,4.61,407850,Children's Fiction,Sci Fi Books for Kids,Fantasy Books for Kids
9781509839162,The 91-Storey Treehouse,Andy Griffiths,632.65,English,384,24 Aug 2017,4.47,2528,Children's Fiction,Adventure Books for Kids,Funny Books for Kids
9780142410387,The BFG,Roald Dahl,638.34,English,224,16 Aug 2007,4.22,426414,Children's Fiction,Classic Books for Children,Children's General Story Books
9780349701479,The Vanishing Half : Shortlisted for the Women's Prize 2021,Brit Bennett,651.31,English,384,03 Jun 2021,4.2,525065,Contemporary Fiction,Sagas
9780006479895,A Clash of Kings,George R.R. Martin,673.46,English,928,10 May 2011,4.41,844202,Contemporary Fiction,Adventure Books,Fantasy
9780708898406,The Underground Railroad : Winner of the Pulitzer Prize for Fiction 2017,Colson Whitehead,652.14,English,400,29 Jun 2017,4.05,347459,Contemporary Fiction,Historical Fiction
9780451531056,The Complete Poetry Of Edgar Allan Poe,Edgar Allan Poe,609.86,English,139,26 Nov 2009,4.3,13930,Poetry Books,Poetry By Individual Poets,Contemporary Fiction
